TARA_144	TARA_146	TARA_147	TARA_148	TARA_149	TARA_70	TARA_76	TARA_78
1834840	11	26	31	49	18	9	31	13
1545134	11	26	24	47	22	13	19	11
5900110	12	26	17	35	17	18	24	15
2318218	11	16	18	37	20	21	24	12
5996989	15	22	16	41	11	12	18	12
1976660	10	24	26	45	15	14	18	15
5720882	15	27	24	47	22	17	29	11
2374293	12	24	23	38	22	20	34	10
1372785_1	14	28	27	48	18	13	13	14
1372785_2	14	28	27	48	18	13	13	14
1372785_3	14	28	27	48	18	13	13	14
703666	12	24	17	36	22	17	30	11
2303493_1	16	30	19	39	13	17	27	10
2303493_2	16	30	19	39	13	17	27	10
5109248_1	9	22	17	36	21	12	20	15
5109248_2	9	22	17	36	21	12	20	15
5835352	13	24	13	48	21	15	21	9
1288261	11	18	14	40	21	15	20	10
566536	9	24	21	47	12	11	17	10
4195353	13	30	28	36	15	12	15	13
1989695	12	26	20	45	18	14	26	14
1784454	9	21	25	44	18	20	20	9
1416883	12	18	26	48	25	12	30	13
1901789	12	23	29	52	23	15	26	14
995530	11	15	20	34	22	14	31	11
1838104	11	32	19	46	10	14	23	9
2778319	9	29	17	49	9	10	24	11
1023774	15	27	29	49	24	17	27	9
6277509_1	12	18	17	34	16	9	28	9
6277509_2	12	18	17	34	16	9	28	9
5710994_1	13	30	22	51	23	14	12	11
5710994_2	13	30	22	51	23	14	12	11
5710994_3	13	30	22	51	23	14	12	11
237530	9	27	18	49	21	15	32	11
5208365	13	22	31	34	13	12	25	9
6067479	12	16	29	44	17	15	27	10
2502437	13	22	30	47	11	9	28	12
1597008	15	21	31	37	15	12	30	15
1269138	9	27	16	34	13	10	17	10
5950726_1	13	26	29	46	26	15	15	12
5950726_2	13	26	29	46	26	15	15	12
5950726_3	13	26	29	46	26	15	15	12
2085781	13	19	25	38	15	20	27	9
1708114	14	21	22	34	12	18	22	10
775437	10	30	27	44	13	18	24	14
3075467	12	21	26	37	16	15	27	13
1673931	13	13	27	47	16	12	27	11
6564843_1	11	23	15	43	19	20	24	12
6564843_2	11	23	15	43	19	20	24	12
5126065_1	11	25	19	44	12	13	34	10
5126065_2	11	25	19	44	12	13	34	10
2527725	12	27	27	46	20	11	18	13
2612249	12	26	29	53	24	16	30	13
5794065	9	31	28	46	15	20	24	14
3718564	9	31	27	45	19	10	33	10
780516	11	31	24	43	18	18	33	9
2748252	13	24	11	37	18	10	28	9
1047720	10	30	28	44	23	16	28	15
4608606	16	18	20	52	11	13	19	9
409713	14	21	24	43	21	10	27	10
1832497	11	27	27	52	21	10	10	10
2520236	12	28	31	40	24	14	18	14
425096	14	33	17	46	23	15	20	10
5582181	12	19	23	53	13	18	29	9
1520601	12	20	26	45	19	10	27	12
4136914	14	24	25	45	17	16	23	15
4687107	12	28	24	36	16	11	32	12
6421056	10	18	22	43	19	15	23	10
5960956	9	23	30	39	23	10	24	10
5571490	10	23	12	31	17	15	10	9
