TARA_146	TARA_147	TARA_148
532571_1	89	28	55
532571_2	89	28	55
1338663	52	14	51
6578592	86	22	62
2957039	39	16	39
4084823	70	23	70
3408672	55	16	49
5214856	108	34	60
2188941	27	18	18
2305943	104	25	84
3213819	55	26	68
879709	45	29	32
4876073	77	37	63
1370119_1	66	27	59
1370119_2	66	27	59
6629019	41	15	46
300095_1	78	21	64
300095_2	78	21	64
1792749	82	19	47
1993463	39	18	45
1676484	46	23	50
3587746	30	17	20
3420910	81	30	57
3453775_1	60	25	53
3453775_2	60	25	53
6198266	45	18	47
4206853	40	12	18
4837610	70	18	53
4153069	67	19	58
4516592	84	24	47
5228675	102	37	80
1696531	58	11	43
761147	61	23	40
3622493	57	14	38
7108262	45	18	46
6516373	40	15	46
3799397	94	38	70
2449012	43	17	41
1978833	78	22	65
4352162	21	9	20
5733306_1	49	21	45
5733306_2	49	21	45
5733306_3	49	21	45
4078330	84	23	78
2303499_1	51	28	34
2303499_2	51	28	34
3620189	55	16	45
1032665	67	27	53
4494304	38	19	38
1967428	43	21	40
2867777	102	29	75
1780523	60	24	29
6556680	52	13	32
5880064	94	23	63
156332	53	22	56
222707	87	33	71
3102141_1	47	19	38
3102141_2	47	19	38
6092828	39	24	35
5782634	68	39	86
4591599	68	27	47
2577380	83	34	77
4303542	73	22	44
6423856	71	26	57
2552230	34	17	43
6290709	49	22	39
2921448	52	22	50
5091847	77	22	53
2957504	53	18	56
7114820	59	16	39
6897603	75	19	53
1109598	62	28	53
3586749	47	11	34
3033098	94	22	65
4406618	56	15	40
3740748	67	21	73
6610641	82	24	67
2016388	65	26	58
4294128	59	20	62
6624236_1	93	27	74
6624236_2	93	27	74
5058274	93	32	86
712753	66	23	37
1480035	53	15	41
64726	100	18	69
5554450	35	12	23
4823141	70	27	71
4280241	63	19	58
5387096	70	27	48
4546636	50	11	39
1404736	59	15	53
2427672	91	26	85
6924313	82	21	56
4638898	85	40	70
1245048	74	26	53
2140510	57	18	37
1216194	65	20	44
5431639	83	29	65
4500145	86	39	83
3379779	49	24	60
1896982	80	38	69
3960203_1	62	28	48
3960203_2	62	28	48
6947620	83	16	53
5736270	65	22	76
1454832	67	24	56
72634	79	34	89
1344311	90	29	90
4606219	56	25	37
2605494	65	26	70
6530981	99	30	84
5065612	75	23	53
4232397	73	27	72
1938163	68	24	46
1294862	74	14	59
3758698	43	14	33
1008372	111	35	75
4216678	40	20	47
5961999	78	34	69
3138841	83	25	60
2259774	97	26	58
1276291	75	39	54
208813	87	27	67
6062276	49	16	32
158899	83	26	83
4750500	65	19	54
704466	62	20	52
1261599	42	21	40
6331924	80	36	93
4794953	71	20	58
1607771_1	80	29	63
1607771_2	80	29	63
1607771_3	80	29	63
4129016	58	29	42
760798	82	18	65
2017942	56	27	50
1232518_1	66	30	63
1232518_2	66	30	63
2533740_1	87	30	82
2533740_2	87	30	82
2533740_3	87	30	82
1279549	45	18	34
3533703_1	62	26	62
3533703_2	62	26	62
4490086	74	28	90
3974744	60	26	69
5072764	82	41	73
109069	67	29	66
2271	77	21	49
1469339	86	22	71
6635234	68	28	62
3785927	48	16	45
266981	93	33	53
7091196	51	23	51
2843037	85	39	71
4613576	50	22	41
3998311	59	25	57
3880288	62	23	50
1272979	58	31	73
1539458	61	11	46
1155254	70	28	54
3877347	88	30	77
6147663	75	20	51
3053141	99	38	60
1693562	62	19	38
951407	64	19	79
564105	74	36	74
5166445_1	42	17	48
5166445_2	42	17	48
412679	41	20	26
2664883	60	22	60
6729458	69	20	34
3415452	87	40	76
2891064	49	26	44
3740068	51	19	38
1711180	68	19	72
6023200	100	37	70
917828	65	33	48
5019739	50	33	42
4157127	86	34	69
758004	52	17	37
2882384	67	37	78
2833935	35	14	40
2923702	55	21	43
3587571	66	28	52
3082311	93	30	86
3231954_1	90	40	75
3231954_2	90	40	75
4150262	72	24	63
1374746	79	22	62
6620005	86	29	69
2935466	97	25	65
3874662	71	16	58
4878763	62	17	44
7089748	102	22	84
7093474	112	22	82
2488633	72	26	49
3422629	83	33	75
3883586	88	34	80
1072707	60	16	48
3094073	63	29	48
1673697	63	13	65
2872397	73	29	54
5684740_1	96	34	66
5684740_2	96	34	66
5970399	72	23	60
313573	78	29	53
6078413	84	17	78
2561035	100	37	75
5640433	68	22	65
6281575_1	86	37	78
6281575_2	86	37	78
55517	97	27	78
5906641	61	12	58
6746487	100	19	82
122361	58	15	52
1080502	65	25	49
942325	89	37	88
48085	55	15	62
367149	66	22	67
4360515	85	16	54
4915358_1	74	13	47
4915358_2	74	13	47
6055711	48	24	58
1377249	86	31	84
5399881	99	30	68
2629824	110	28	76
3376783	96	24	71
3972445	45	20	54
2782424	37	24	41
133166	73	30	51
1529165	44	17	51
4958774	46	13	50
4789247	78	14	51
5137467	71	26	63
5475225	81	41	84
5168378_1	102	32	72
5168378_2	102	32	72
5168378_3	102	32	72
963684	45	21	40
644890	50	18	55
2824867	90	38	73
3861568	78	19	81
6349120	65	18	50
4155315	85	31	69
4176148	87	31	68
4333071	83	22	71
2835035_1	79	29	77
2835035_2	79	29	77
4478567_1	75	22	46
4478567_2	75	22	46
4817464	53	19	44
6314289	74	32	62
4514028	59	27	69
6034116	83	19	56
85390	84	31	60
4716773	74	35	92
972101	80	37	68
3021199	75	26	72
2108899	27	10	32
5870847	81	35	71
5648089	76	23	77
4182823_1	88	38	67
4182823_2	88	38	67
5572747	84	40	83
5410435	108	34	64
5332361	81	31	74
4810670	65	30	78
4657651	80	25	63
1777315	59	19	41
2080316	71	40	87
6464463	69	29	63
1155073	36	26	36
3699649	76	35	79
1840279	56	21	49
5715337	55	19	54
2402377	95	34	61
6824054	79	26	50
1447187	52	14	54
1140547	79	20	52
6071516	80	26	66
542643	83	24	53
2789659	74	27	61
5483675	48	23	34
4972275	60	26	56
1055343	73	24	68
3139166	74	28	84
2436679	48	22	29
6182361	104	35	75
627636	97	38	90
6880531	78	25	51
2406939	84	35	78
311709	86	28	93
6900000	55	19	49
6899755	54	16	50
1488421	105	34	68
6116174	84	31	92
2647973_1	66	34	57
2647973_2	66	34	57
2649956	96	27	73
4248295	80	13	62
897340	110	29	79
6282367	92	38	76
1041044	58	31	69
3589629	94	41	87
4700812	56	24	56
3285517	73	37	94
4198520	95	29	77
2487773	59	29	78
5902936_1	77	15	63
5902936_2	77	15	63
1844299	99	41	63
2615500	76	15	52
2663098	55	28	65
91552	63	22	67
5754156	87	34	76
3827064	58	27	45
4557238	76	27	68
1172679_1	96	34	88
1172679_2	96	34	88
6203634	76	35	92
5414128	117	36	70
3155828	94	36	83
7116092	51	12	44
6862325	71	21	38
2747885	81	29	85
5471760_1	103	24	81
5471760_2	103	24	81
5471760_3	103	24	81
909765	91	21	84
2417400	81	26	89
105258	68	26	72
941888	75	32	59
6894000	58	11	67
3725001	66	28	63
3039516	67	28	57
1450571	73	33	64
995946	93	25	68
3011940	71	19	59
4542170	84	30	69
252725	62	22	44
291412	78	39	99
5960714	76	30	66
3435850	61	31	61
4111154	81	33	63
7097382	80	26	82
1387665	88	41	81
80068	104	22	82
4371920	65	38	76
323670	70	25	61
4896018	95	38	71
3466073	56	18	49
1155068	72	23	64
5611028	70	29	58
2872710	95	28	81
4414619	98	38	73
4924642	66	22	51
2399179	78	40	80
3522262	84	37	93
6875980	80	41	65
11409	99	31	64
6323479	69	38	76
1834134	88	28	70
4544922_1	92	33	65
4544922_2	92	33	65
4544922_3	92	33	65
4864257	107	29	59
4077860	73	35	46
3807901	75	20	67
2276627	72	26	59
5396072	98	26	75
734614	59	12	48
1372411	86	28	58
1745504	70	27	67
1374078	67	32	51
1762771	70	22	84
1853127	81	20	80
2823498	87	26	68
2892956	81	29	83
4962784	47	14	49
2716830	74	29	62
5690327_1	79	33	94
5690327_2	79	33	94
3053285	96	23	74
2663880	70	16	52
5302100	63	29	51
5166789	85	27	60
901656	72	20	55
5841091	79	35	85
2352196	105	36	87
4322262	59	32	56
848474	94	34	89
5777635	72	38	86
3837348	41	21	46
120871	63	13	31
4300667	104	36	89
6326166	88	23	83
2365145	74	25	60
2639655	76	33	75
613611	111	30	93
900779	82	24	58
336266	99	21	88
904097	82	29	68
7101221	96	31	80
2861575	57	25	48
6938606	93	23	73
640244	62	23	40
1106555	104	31	68
5102737	84	38	71
1571052	95	37	59
4330496_1	66	21	67
4330496_2	66	21	67
1435999	82	26	52
71852	92	21	88
1189799	92	27	63
3418923	97	23	76
1428766	99	24	98
6280984	53	32	47
5448129	82	25	83
1302829	74	40	80
879790	74	24	64
2624747	67	28	60
998561	95	38	76
2070387	101	35	76
4799362	81	34	88
4301288	88	32	87
1402448	65	22	68
5944859	103	40	80
5851355	76	35	98
203027	84	34	51
1698789	96	30	92
3494140	81	18	65
2850920	71	28	70
940857	100	35	87
2611726	96	25	60
2597971	81	28	55
5015095	80	35	76
5165013	65	29	71
4749989	54	32	46
1938200	85	29	76
6028250	75	23	78
1211638	61	20	56
6026588	104	31	85
472032	87	41	83
1198351	87	30	95
1175894	97	28	90
4089393	64	26	54
742440	103	29	68
2606778	58	17	36
6744228	94	33	85
3758963	81	28	70
2879287	88	40	81
651832	96	24	89
2365265	81	21	59
4529990	91	31	88
2605784	72	23	62
3233927	108	36	77
7093749	85	20	89
4876206	84	38	80
2641709_1	64	29	75
2641709_2	64	29	75
296160	43	18	36
5992808	77	40	85
4265348	93	39	57
1159116	82	23	72
1218216	74	16	38
3910009	92	29	66
2187283	90	28	97
1695025	101	30	70
5283691	89	38	82
2299384	74	24	41
4591589	100	26	76
6403502	77	21	57
6159807	87	32	61
205655	78	24	61
4069511	91	39	97
5985971	54	20	57
3684693	100	39	63
5379365	81	25	83
108920	84	14	64
1576127	95	37	71
184272	95	30	62
1087706	95	40	71
3595209	88	26	72
3817144	82	23	54
4442	79	28	64
245044	81	15	57
2682225	81	34	63
1129846	73	20	50
6805435	66	22	62
3370010	68	33	61
1478831	101	24	79
5618172	95	32	52
3549202	87	31	83
6374696	64	25	57
2502987	98	19	93
1167093	78	28	85
5167753	98	33	88
6252891	76	37	84
2685035	67	22	58
2990258	98	27	80
3657172	105	34	78
750500	66	23	56
1241201	62	23	59
5858261	62	27	85
3036548	62	22	54
4359219	64	29	61
6855545	86	28	60
6910087	115	28	85
6625376	102	29	72
5589245	58	22	39
1159485	97	31	79
5195694	54	34	66
4168480	58	31	71
1364675	79	32	69
2445539	80	20	67
818659	87	26	65
5734130	82	36	65
2802861	60	26	66
290293	76	15	49
3023231	82	17	85
3525088	91	20	83
459801	67	23	57
3066815	73	18	73
5624857	71	25	66
5321727	74	33	82
2107900	73	26	62
759061	73	24	46
276953	77	16	51
4645239	45	17	56
340252	90	26	86
6675116	67	31	55
5065991	61	27	65
7021516	90	34	67
1784459_1	92	37	95
1784459_2	92	37	95
247379	67	16	60
6228257	52	26	71
1692473	84	21	65
587963	53	25	45
4816723	88	17	69
4551754	84	30	81
720874	86	32	77
2357369	96	28	90
3985570	105	24	89
3949665	117	29	70
1426166	79	15	61
3218851	114	26	87
1343241	76	23	75
2308776	81	33	73
1227712	94	24	75
6469253	117	31	86
2392906_1	65	17	58
2392906_2	65	17	58
4843316	75	33	56
6718767	63	25	68
1498357	60	19	27
43827	106	32	82
1734671_1	89	20	71
1734671_2	89	20	71
1734671_3	89	20	71
7028158	73	18	70
6654875	79	39	45
6364572	86	29	58
2451135	74	29	59
4639189	82	20	57
5144840	73	18	63
334137	93	21	94
2993024	112	26	86
6011266	99	30	61
55124	80	31	63
3111019	104	41	79
5399166	91	27	58
6331311	99	35	81
1467796	108	37	83
4481415	85	32	78
2940654	67	22	69
1618484	96	31	75
2639623	92	29	83
5501770	61	24	67
5797058	78	24	57
630105	75	33	92
3816286	71	26	74
5550692	57	20	51
4245010_1	82	31	80
4245010_2	82	31	80
6327055	67	19	71
4452076	85	34	76
6377330	73	26	48
5907645	72	33	56
5716891	108	31	77
2773088	75	30	70
258143	72	20	75
1122672	81	26	65
3782378	90	18	60
3606180	99	34	85
1691893	78	30	66
5857712	88	28	76
4872859	79	26	88
5666070	85	37	74
4323171	102	39	87
4069300	82	40	85
4842141	107	38	65
2391987_1	53	28	71
2391987_2	53	28	71
540352	89	32	85
256356	89	29	71
4678569	79	27	71
319526	89	27	72
5546477	86	33	60
2738684	77	17	73
2137120	69	19	57
3751829	106	34	59
5739041	69	19	67
302708	64	18	41
5605142	96	32	69
3379753	101	35	72
2826585	82	23	72
780040	93	36	97
843135	96	37	79
3931949	77	33	87
2029442	80	38	74
6339021	90	30	74
188770	92	41	81
1895023	87	31	87
6859281	112	19	93
537116	99	23	71
2556802_1	70	32	64
2556802_2	70	32	64
1244551	88	41	81
7053336	67	26	55
3211033	86	24	47
5611013	85	24	73
2290268	93	27	89
4819218	91	20	84
2957995	64	22	65
2705817_1	77	39	94
2705817_2	77	39	94
2528274	90	30	85
848706	92	30	89
2283835	80	34	69
7030301	78	25	64
7046146	103	39	72
5812199	38	13	33
